EnsemblID,GeneName,ID
ENSMUSG00000020592,Sdc1,1415943_at
ENSMUSG00000020592,Sdc1,1437279_x_at
ENSMUSG00000020592,Sdc1,1415944_at
ENSMUSG00000020592,Sdc1,1448158_at
ENSMUSG00000026430,Rassf5,1422637_at
ENSMUSG00000026430,Rassf5,1422638_s_at
ENSMUSG00000030788,Rnf141,1433655_at
ENSMUSG00000030788,Rnf141,1449086_at
ENSMUSG00000030788,Rnf141,1449087_at
ENSMUSG00000033047,Eif3l,1423728_at
ENSMUSG00000033047,Eif3l,1437948_x_at
ENSMUSG00000078650,G6pc,1417880_at
ENSMUSG00000045826,Ptprcap,1448351_at
ENSMUSG00000045826,Ptprcap,1448511_at
ENSMUSG00000024429,Gnl1,1418647_at
ENSMUSG00000024429,Gnl1,1418646_at
ENSMUSG00000052957,Gas1,1448494_at
ENSMUSG00000052957,Gas1,1416855_at
ENSMUSG00000035150,Eif2s3x,1423744_x_at
ENSMUSG00000035150,Eif2s3x,1421895_at
ENSMUSG00000035150,Eif2s3x,1451090_a_at
ENSMUSG00000024830,Rps6kb2,1422268_a_at
ENSMUSG00000028691,Prdx1,1416000_a_at
ENSMUSG00000028691,Prdx1,1434731_x_at
ENSMUSG00000028691,Prdx1,1433866_x_at
ENSMUSG00000028691,Prdx1,1436691_x_at
ENSMUSG00000025580,Eif4a3,1417242_at
ENSMUSG00000021559,Dapk1,1426915_at
ENSMUSG00000021559,Dapk1,1427358_a_at
ENSMUSG00000001285,Myg1,1424088_at
ENSMUSG00000020585,Laptm4a,1423368_at
ENSMUSG00000021773,Comtd1,1428635_at
ENSMUSG00000034473,Sec22a,1416320_at
ENSMUSG00000097239,Gm27029,1454256_s_at
ENSMUSG00000097239,Gm27029,1424006_at
ENSMUSG00000074491,Clec4g,1431575_at
ENSMUSG00000074491,Clec4g,1427428_at
ENSMUSG00000015217,Hmgb3,1416155_at
ENSMUSG00000053835,H2-T24,1422160_at
ENSMUSG00000030787,Lyve1,1453128_at
ENSMUSG00000030787,Lyve1,1429379_at
ENSMUSG00000059647,Cbx3-ps7,1416884_at
ENSMUSG00000059647,Cbx3-ps7,1439421_x_at
ENSMUSG00000059647,Cbx3-ps7,1448504_a_at
ENSMUSG00000020583,Matn3,1422148_at
ENSMUSG00000020583,Matn3,1455948_x_at
ENSMUSG00000022844,Pdia5,1424650_at
ENSMUSG00000024066,Xdh,1451006_at
ENSMUSG00000104876,Trdc,1427655_a_at
ENSMUSG00000104876,Trdc,1459400_at
ENSMUSG00000075528,Aarsd1,1424006_at
ENSMUSG00000034648,Lrrn1,1432715_at
ENSMUSG00000034648,Lrrn1,1416053_at
ENSMUSG00000039081,Zfp503,1423836_at
ENSMUSG00000039081,Zfp503,1423835_at
ENSMUSG00000037788,Vopp1,1451127_at
ENSMUSG00000037788,Vopp1,1423812_s_at
ENSMUSG00000031494,Cd209a,1426172_a_at
ENSMUSG00000052133,Sema5b,1435963_at
ENSMUSG00000052133,Sema5b,1422146_at
ENSMUSG00000086240,Gm7846,1418656_at
ENSMUSG00000026609,Ush2a,1431750_at
ENSMUSG00000026609,Ush2a,1421697_at
ENSMUSG00000028690,Mmachc,1418915_at
ENSMUSG00000028495,Rps6,1454620_x_at
ENSMUSG00000028495,Rps6,1416141_a_at
ENSMUSG00000028495,Rps6,1434377_x_at
ENSMUSG00000028495,Rps6,1455693_x_at
ENSMUSG00000028495,Rps6,1416142_at
ENSMUSG00000039187,Fanci,1425941_a_at
ENSMUSG00000039187,Fanci,1427953_at
ENSMUSG00000074485,Gm7381,1454805_at
ENSMUSG00000038007,Acer2,1451355_at
ENSMUSG00000038007,Acer2,1421496_at
ENSMUSG00000031770,Herpud1,1448185_at
ENSMUSG00000031770,Herpud1,1435626_a_at
ENSMUSG00000115668,Vmn1r25,1422388_at
ENSMUSG00000036678,Aaas,1451377_a_at
ENSMUSG00000030101,Sumf1,1424603_at
ENSMUSG00000030101,Sumf1,1424604_s_at
